食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系脂肪酸,n-6系脂肪酸
単位,g,g,g,g,g,g,g,g,g
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,52.9,(10.3),10.6,(9.85),(0.83),(6.28),(2.74),(0.79),(1.95)
＜いも類＞　じゃがいも　乾燥マッシュポテト,7.5,0.5,0.6,0.46,0.30,0.10,0.07,0.01,0.05
＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,71.1,0.3,0.5,0.27,0.11,0.03,0.13,0.01,0.12
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,82.6,0.1,0.3,0.14,0.04,0.02,0.08,0.01,0.07
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,84.2,(0.1),0.3,(0.14),(0.04),(0.02),(0.08),(0.01),(0.07)
＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,66.7,0.1,0.2,0.12,0.03,0.02,0.07,0.01,0.06
＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,68.8,0.3,0.7,0.27,0.11,0.04,0.11,0.02,0.10
＜いも類＞　（やまのいも類）　だいじょ　塊根　生,71.2,Tr,0.1,0.04,0.02,Tr,0.02,Tr,0.02
＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,12.8,(0.7),0.7,(0.70),(0.13),(0.22),(0.35),(0),(0.35)
＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,84.8,(3.5),4.3,(3.36),(0.50),(1.28),(1.58),(0.01),(1.56)
あずき　全粒　乾,14.2,0.8,2.0,0.80,0.24,0.06,0.50,0.15,0.35
あずき　全粒　ゆで,63.9,(0.3),0.8,(0.33),(0.10),(0.02),(0.21),(0.06),(0.14)
あずき　ゆで小豆缶詰,45.3,0.2,0.4,0.22,0.07,0.01,0.14,0.04,0.09
あずき　あん　こし生あん,62.0,(0.3),0.6,(0.24),(0.07),(0.02),(0.15),(0.05),(0.10)
あずき　あん　さらしあん　（乾燥あん）,7.8,(0.4),1.0,(0.39),(0.12),(0.03),(0.24),(0.07),(0.17)
あずき　あん　つぶし生あん,65.8,0.3,0.5,0.29,0.10,0.02,0.17,0.05,0.12
あずき　あん　つぶし練りあん,39.3,0.3,0.6,0.26,0.09,0.02,0.16,0.05,0.11
いんげんまめ　全粒　乾,15.3,1.5,2.5,1.41,0.28,0.21,0.91,0.59,0.32
いんげんまめ　全粒　ゆで,63.6,(0.7),1.2,(0.65),(0.13),(0.10),(0.42),(0.27),(0.15)
いんげんまめ　うずら豆,41.4,0.6,1.3,0.57,0.11,0.06,0.40,0.25,0.15
いんげんまめ　こし生あん,62.3,(0.5),0.9,(0.50),(0.10),(0.08),(0.32),(0.21),(0.11)
いんげんまめ　豆きんとん,37.8,(0.3),0.5,(0.28),(0.06),(0.04),(0.18),(0.12),(0.06)
えんどう　全粒　青えんどう　乾,13.4,1.5,2.3,1.39,0.27,0.44,0.68,0.09,0.60
えんどう　全粒　青えんどう　ゆで,63.8,(0.6),1.0,(0.60),(0.12),(0.19),(0.30),(0.04),(0.26)
えんどう　グリンピース（揚げ豆）,5.6,9.8,11.6,9.37,0.86,5.28,3.23,0.76,2.47
えんどう　塩豆,6.3,1.7,2.4,1.63,0.30,0.55,0.78,0.10,0.68
えんどう　うぐいす豆,39.7,0.3,0.7,0.32,0.06,0.11,0.15,0.02,0.13
えんどう　うぐいすあん,38.5,0.5,0.8,0.49,0.10,0.16,0.23,0.03,0.20
ささげ　全粒　乾,15.5,1.3,2.0,1.29,0.43,0.12,0.73,0.27,0.46
ささげ　全粒　ゆで,63.9,(0.6),0.9,(0.58),(0.19),(0.05),(0.33),(0.12),(0.21)
そらまめ　全粒　乾,13.3,1.3,2.0,1.22,0.24,0.33,0.65,0.04,0.61
そらまめ　フライビーンズ,4.0,(19.6),20.8,(18.73),(1.53),(11.64),(5.55),(1.46),(4.10)
そらまめ　おたふく豆,37.2,0.6,1.2,0.62,0.11,0.18,0.33,0.02,0.31
そらまめ　ふき豆,34.5,1.1,1.6,1.07,0.18,0.33,0.56,0.03,0.53
そらまめ　しょうゆ豆,50.2,(0.5),0.9,(0.48),(0.09),(0.14),(0.26),(0.02),(0.24)
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,12.5,16.9,19.3,16.19,2.49,3.59,10.11,1.51,8.60
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,65.5,7.5,8.2,7.17,1.13,1.61,4.42,0.66,3.76
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,12.4,18.6,19.7,17.78,2.59,4.80,10.39,1.54,8.84
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,65.4,(9.2),9.8,(8.82),(1.28),(2.38),(5.15),(0.77),(4.39)
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,11.7,(19.9),21.7,(19.03),(3.13),(4.19),(11.71),(1.66),(10.05)
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,12.5,(17.9),19.5,(17.10),(2.63),(3.38),(11.09),(1.96),(9.12)
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,8.3,20.2,22.6,19.29,3.14,5.02,11.13,1.20,9.93
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,12.7,16.5,18.8,15.81,2.42,3.77,9.62,1.59,8.03
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,65.1,8.5,8.6,8.14,1.24,1.97,4.93,0.83,4.11
だいず　［全粒・全粒製品］　いり大豆　青大豆,2.7,19.1,20.7,18.25,2.84,4.02,11.39,1.81,9.58
だいず　［全粒・全粒製品］　いり大豆　黄大豆,2.5,20.2,21.6,19.33,2.81,5.16,11.37,1.65,9.72
だいず　［全粒・全粒製品］　いり大豆　黒大豆,2.4,20.3,22.0,19.38,2.83,5.87,10.67,1.70,8.97
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,71.7,(6.3),6.7,(6.04),(0.88),(1.63),(3.53),(0.52),(3.00)
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,57.4,(9.2),9.8,(8.82),(1.28),(2.38),(5.15),(0.77),(4.38)
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,5.9,20.9,22.8,19.97,3.21,4.17,12.59,2.00,10.59
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,5.2,23.0,24.6,22.03,3.29,5.43,13.32,1.88,11.44
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,4.0,24.7,25.7,23.59,3.59,5.92,14.08,2.02,12.05
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,2.6,23.7,25.1,22.65,3.43,5.61,13.61,1.96,11.65
だいず　［全粒・全粒製品］　ぶどう豆,36.0,(8.9),9.4,(8.47),(1.23),(2.29),(4.95),(0.74),(4.21)
だいず　［豆腐・油揚げ類］　木綿豆腐,85.9,4.5,4.9,4.32,0.79,0.92,2.60,0.31,2.29
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,85.9,4.5,4.9,4.32,0.79,0.92,2.60,0.31,2.29
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,85.9,4.5,4.9,4.32,0.79,0.92,2.60,0.31,2.29
だいず　［豆腐・油揚げ類］　絹ごし豆腐,88.5,(3.2),3.5,(3.08),(0.57),(0.66),(1.86),(0.22),(1.63)
だいず　［豆腐・油揚げ類］　ソフト豆腐,88.9,(3.0),3.3,(2.89),(0.53),(0.61),(1.74),(0.21),(1.53)
だいず　［豆腐・油揚げ類］　充てん豆腐,88.6,(2.8),3.1,(2.71),(0.50),(0.58),(1.63),(0.20),(1.44)
だいず　［豆腐・油揚げ類］　沖縄豆腐,81.8,(6.6),7.2,(6.30),(1.16),(1.34),(3.80),(0.45),(3.34)
だいず　［豆腐・油揚げ類］　ゆし豆腐,90.0,(2.6),2.8,(2.45),(0.45),(0.52),(1.48),(0.18),(1.30)
だいず　［豆腐・油揚げ類］　焼き豆腐,84.8,(5.2),5.7,(4.98),(0.92),(1.06),(3.00),(0.36),(2.64)
だいず　［豆腐・油揚げ類］　生揚げ,75.9,(10.7),11.3,(10.19),(1.61),(3.07),(5.51),(0.79),(4.72)
だいず　［豆腐・油揚げ類］　絹生揚げ,80.5,7.2,7.7,6.85,0.98,2.36,3.50,0.52,2.98
だいず　［豆腐・油揚げ類］　油揚げ　生,39.9,31.2,34.4,29.88,3.89,12.44,13.56,2.26,11.30
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,56.9,21.3,23.4,20.41,2.74,8.07,9.60,1.56,8.04
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,72.6,12.5,13.8,12.00,1.68,4.34,5.98,0.94,5.05
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,40.2,28.8,32.2,27.52,3.73,10.77,13.01,2.08,10.93
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,54.9,11.8,13.0,11.27,1.60,4.11,5.56,0.75,4.82
だいず　［豆腐・油揚げ類］　がんもどき,63.5,(16.8),17.8,(16.03),(2.49),(5.02),(8.52),(1.24),(7.28)
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,7.2,32.3,34.1,30.92,5.22,7.38,18.32,2.49,15.83
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,79.6,6.7,7.3,6.36,1.07,1.53,3.76,0.51,3.25
だいず　［豆腐・油揚げ類］　豆腐よう,60.6,7.5,8.3,7.15,1.17,1.59,4.39,0.55,3.84
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,71.6,3.7,4.4,3.52,0.62,0.73,2.17,0.35,1.83
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,68.8,4.1,4.9,3.91,0.69,0.82,2.39,0.38,2.01
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,26.5,(19.6),21.5,(18.79),(3.46),(4.00),(11.33),(1.36),(9.97)
だいず　［納豆類］　糸引き納豆,59.5,(9.7),10.0,(9.30),(1.45),(2.21),(5.65),(0.67),(4.98)
だいず　［納豆類］　挽きわり納豆,60.9,(9.7),10.0,(9.30),(1.45),(2.21),(5.65),(0.67),(4.98)
だいず　［納豆類］　五斗納豆,45.8,6.9,8.1,6.62,1.13,1.22,4.26,0.70,3.55
だいず　［納豆類］　塩納豆,64.0,3.6,4.4,3.42,0.57,0.78,2.07,0.29,1.78
だいず　［納豆類］　寺納豆,24.4,6.1,8.1,5.81,1.01,1.10,3.70,0.60,3.10
だいず　［納豆類］　干し納豆,12.0,15.3,16.8,14.60,2.34,3.35,8.91,1.30,7.61
だいず　［その他］　おから　生,75.5,(3.4),3.6,(3.21),(0.51),(0.67),(2.03),(0.28),(1.75)
だいず　［その他］　おから　乾燥,7.1,(12.7),13.6,(12.18),(1.94),(2.55),(7.68),(1.07),(6.62)
だいず　［その他］　豆乳　豆乳,90.8,2.6,2.8,2.47,0.39,0.53,1.55,0.20,1.34
だいず　［その他］　豆乳　調製豆乳,87.9,3.4,3.6,3.24,0.50,0.75,1.99,0.20,1.79
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,87.4,2.1,2.2,1.96,0.33,0.44,1.20,0.11,1.08
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,7.8,1.9,3.0,1.83,0.38,0.29,1.16,0.14,1.01
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,6.8,0.7,1.7,0.68,0.21,0.09,0.39,0.04,0.35
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,5.9,1.6,3.0,1.56,0.41,0.19,0.96,0.09,0.87
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,5.8,3.6,5.0,3.48,0.72,0.69,2.07,0.21,1.86
だいず　［その他］　湯葉　生,59.1,12.3,13.7,11.76,1.90,2.80,7.06,0.91,6.15
だいず　［その他］　湯葉　干し　乾,6.9,30.0,32.1,28.74,4.98,7.50,16.26,2.18,14.08
だいず　［その他］　湯葉　干し　湯戻し,72.8,9.6,10.6,9.19,1.60,2.37,5.22,0.70,4.52
だいず　［その他］　金山寺みそ,34.3,2.6,3.2,2.52,0.54,0.47,1.51,0.17,1.35
だいず　［その他］　ひしおみそ,46.3,2.2,2.7,2.14,0.36,0.51,1.27,0.16,1.12
だいず　［その他］　テンペ,57.8,7.8,9.0,7.50,1.20,1.61,4.69,0.72,3.97
つるあずき　全粒　乾,12.0,1.0,1.6,0.96,0.32,0.10,0.55,0.18,0.37
つるあずき　全粒　ゆで,60.5,(0.6),1.0,(0.58),(0.19),(0.06),(0.33),(0.11),(0.22)
ひよこまめ　全粒　乾,10.4,4.3,5.2,4.09,0.56,1.48,2.04,0.08,1.96
ひよこまめ　全粒　ゆで,59.6,2.1,2.5,2.00,0.28,0.72,1.00,0.04,0.96
ひよこまめ　全粒　フライ　味付け,4.6,8.1,10.4,7.71,1.24,3.19,3.28,0.25,3.03
べにばないんげん　全粒　乾,15.4,1.2,1.7,1.16,0.21,0.11,0.85,0.35,0.50
べにばないんげん　全粒　ゆで,69.7,0.4,0.6,0.40,0.08,0.04,0.29,0.12,0.17
らいまめ　全粒　乾,11.7,1.3,1.8,1.27,0.42,0.10,0.75,0.20,0.55
らいまめ　全粒　ゆで,62.3,(0.7),0.9,(0.64),(0.21),(0.05),(0.38),(0.10),(0.28)
りょくとう　全粒　乾,10.8,1.0,1.5,0.98,0.34,0.04,0.61,0.17,0.44
りょくとう　全粒　ゆで,66.0,(0.4),0.6,(0.39),(0.13),(0.01),(0.24),(0.07),(0.18)
レンズまめ　全粒　乾,12.0,1.0,1.5,0.96,0.17,0.30,0.48,0.09,0.39
レンズまめ　全粒　ゆで,57.9,(0.5),0.8,(0.50),(0.09),(0.16),(0.25),(0.05),(0.20)
アーモンド　乾,4.7,51.9,51.8,49.68,3.95,33.61,12.12,0.01,12.11
アーモンド　フライ　味付け,1.8,53.2,55.7,50.86,4.34,34.80,11.72,0.03,11.69
アーモンド　いり　無塩,1.8,(54.2),54.1,(51.86),(4.13),(35.09),(12.65),(0.01),(12.64)
あさ　乾,4.6,27.3,28.3,26.07,2.95,3.50,19.62,4.74,14.89
あまに　いり,0.8,41.1,43.3,39.30,3.62,6.55,29.13,23.50,5.63
えごま　乾,5.6,40.6,43.4,38.79,3.34,6.61,28.83,23.70,5.12
カシューナッツ　フライ　味付け,3.2,47.9,47.6,45.78,9.97,27.74,8.08,0.08,8.00
かぼちゃ　いり　味付け,4.5,(48.7),51.8,(46.63),(9.03),(16.62),(20.98),(0.12),(20.81)
かや　いり,1.2,56.2,64.9,53.76,6.06,19.44,28.25,0.26,27.99
ぎんなん　生,57.4,1.3,1.6,1.24,0.16,0.48,0.60,0.04,0.57
ぎんなん　ゆで,56.9,(1.2),1.5,(1.17),(0.15),(0.45),(0.56),(0.03),(0.53)
（くり類）　日本ぐり　生,58.8,(0.4),0.5,(0.39),(0.09),(0.05),(0.25),(0.05),(0.20)
（くり類）　日本ぐり　ゆで,58.4,0.5,0.6,0.47,0.11,0.06,0.30,0.06,0.25
（くり類）　日本ぐり　甘露煮,40.8,(0.3),0.4,(0.31),(0.07),(0.04),(0.20),(0.04),(0.16)
（くり類）　中国ぐり　甘ぐり,44.4,(0.9),0.9,(0.83),(0.13),(0.47),(0.23),(0.02),(0.21)
くるみ　いり,3.1,70.5,68.8,67.41,6.87,10.26,50.28,8.96,41.32
けし　乾,3.0,47.6,49.1,45.54,5.44,7.32,32.78,0.28,32.50
ココナッツ　ココナッツパウダー,2.5,(64.3),65.8,(60.59),(55.25),(4.34),(1.01),(0),(1.01)
ごま　乾,4.7,53.0,53.8,50.69,7.80,19.63,23.26,0.15,23.11
ごま　いり,1.6,51.6,54.2,49.33,7.58,19.12,22.64,0.19,22.44
ごま　むき,4.1,44.8,54.9,42.86,6.42,16.33,20.11,0.15,19.96
ごま　ねり,0.5,57.1,61.0,54.62,8.49,21.36,24.77,0.21,24.56
しい　生,37.3,(0.8),0.8,(0.76),(0.10),(0.51),(0.15),(0),(0.15)
すいか　いり　味付け,5.9,36.9,46.4,35.26,6.24,4.01,25.01,0.08,24.91
チアシード　乾,6.5,32.7,33.9,31.29,3.51,2.26,25.52,19.43,6.08
はす　未熟　生,77.5,0.4,0.5,0.34,0.10,0.03,0.21,0.02,0.18
はす　成熟　乾,11.2,1.6,2.3,1.57,0.46,0.20,0.91,0.07,0.83
はす　成熟　ゆで,66.1,(0.5),0.8,(0.52),(0.15),(0.07),(0.30),(0.02),(0.28)
（ひし類）　ひし　生,51.8,0.3,0.5,0.25,0.06,0.03,0.16,0.02,0.14
（ひし類）　とうびし　生,64.3,0.2,0.4,0.15,0.06,0.03,0.05,0.01,0.05
（ひし類）　とうびし　ゆで,65.5,0.1,0.3,0.11,0.05,0.02,0.04,0.01,0.04
ピスタチオ　いり　味付け,2.2,55.9,56.1,53.49,6.15,30.92,16.42,0.20,16.22
ひまわり　フライ　味付け,2.6,49.0,56.3,46.86,5.68,12.87,28.31,0.09,28.22
ブラジルナッツ　フライ　味付け,2.8,68.9,69.1,65.87,15.81,21.04,29.02,0.06,28.96
ヘーゼルナッツ　フライ　味付け,1.0,69.3,69.3,66.26,6.21,54.74,5.31,0.07,5.24
ペカン　フライ　味付け,1.9,71.9,73.4,68.79,7.40,37.33,24.06,0.99,23.07
マカダミアナッツ　いり　味付け,1.3,76.6,76.7,73.25,12.46,59.23,1.56,0.09,1.47
まつ　生,2.5,66.7,68.2,63.80,5.09,17.70,41.01,0.13,29.72
まつ　いり,1.9,70.6,72.5,67.53,5.80,20.26,41.48,0.18,31.36
らっかせい　大粒種　乾,6.0,46.4,47.0,44.41,8.25,22.57,13.59,0.09,13.50
らっかせい　大粒種　いり,1.7,50.5,49.6,48.36,9.00,24.54,14.83,0.10,14.73
らっかせい　小粒種　乾,6.0,46.9,47.5,44.83,10.02,19.15,15.66,0.09,15.57
らっかせい　小粒種　いり,2.1,(50.3),49.4,(48.15),(10.76),(20.57),(16.82),(0.10),(16.72)
らっかせい　バターピーナッツ,2.4,51.8,53.2,49.54,10.27,23.55,15.72,0.05,15.67
らっかせい　ピーナッツバター,1.2,47.8,50.4,45.78,11.28,19.88,14.62,0.05,14.56
アーティチョーク　花らい　生,85.1,(0.1),0.2,(0.14),(0.05),(0.01),(0.09),(0.02),(0.06)
アーティチョーク　花らい　ゆで,85.9,(0.1),0.1,(0.07),(0.02),(Tr),(0.04),(0.01),(0.03)
アイスプラント　生,96.2,Tr,0.3,0.02,0.02,Tr,Tr,0,0
あさつき　葉　生,89.0,(0.1),0.3,(0.13),(0.04),(0.01),(0.08),(0.04),(0.04)
あさつき　葉　ゆで,87.3,(0.1),0.3,(0.13),(0.04),(0.01),(0.08),(0.04),(0.04)
アスパラガス　若茎　生,92.6,(0.2),0.2,(0.15),(0.07),(0),(0.08),(0.02),(0.07)
アスパラガス　若茎　ゆで,92.0,(0.1),0.1,(0.07),(0.02),(0),(0.05),(0.01),(0.03)
アスパラガス　若茎　油いため,88.3,(3.7),3.9,(3.55),(0.31),(2.19),(1.06),(0.30),(0.75)
アスパラガス　水煮缶詰,91.9,(0.1),0.1,(0.07),(0.02),(Tr),(0.04),(Tr),(0.04)
いんげんまめ　さやいんげん　若ざや　生,92.2,(0.1),0.1,(0.08),(0.02),(Tr),(0.05),(0.03),(0.02)
いんげんまめ　さやいんげん　若ざや　ゆで,91.7,(0.2),0.2,(0.16),(0.05),(0.01),(0.10),(0.06),(0.04)
うるい　葉　生,92.8,0.2,0.4,0.21,0.06,0.01,0.14,0.07,0.08
えだまめ　生,71.7,5.7,6.2,5.49,0.84,1.88,2.77,0.52,2.25
えだまめ　ゆで,72.1,5.8,6.1,5.58,0.86,1.91,2.82,0.54,2.28
えだまめ　冷凍,67.1,7.2,7.6,6.87,0.95,2.58,3.34,0.50,2.85
エンダイブ　葉　生,94.6,(0.1),0.2,(0.14),(0.05),(Tr),(0.09),(0.01),(0.08)
（えんどう類）　さやえんどう　若ざや　生,88.6,(0.2),0.2,(0.15),(0.04),(0.02),(0.09),(0.01),(0.08)
（えんどう類）　さやえんどう　若ざや　ゆで,89.1,(0.2),0.2,(0.15),(0.04),(0.02),(0.09),(0.01),(0.08)
（えんどう類）　スナップえんどう　若ざや　生,86.6,(0.1),0.1,(0.07),(0.02),(0.01),(0.04),(0.01),(0.04)
（えんどう類）　グリンピース　生,76.5,0.2,0.4,0.16,0.05,0.03,0.08,0.01,0.07
（えんどう類）　グリンピース　ゆで,72.2,(0.1),0.2,(0.08),(0.02),(0.02),(0.04),(0.01),(0.03)
（えんどう類）　グリンピース　冷凍,75.7,0.5,0.7,0.45,0.11,0.09,0.25,0.04,0.21
（えんどう類）　グリンピース　冷凍　ゆで,74.6,0.5,0.7,0.47,0.12,0.09,0.26,0.04,0.22
（えんどう類）　グリンピース　冷凍　油いため,70.1,4.0,4.6,3.85,0.37,2.29,1.19,0.33,0.87
（えんどう類）　グリンピース　水煮缶詰,74.9,(0.2),0.4,(0.22),(0.06),(0.04),(0.13),(0.02),(0.11)
おおさかしろな　葉　生,94.9,(0.1),0.2,(0.08),(0.02),(0.01),(0.05),(0.05),(0.01)
おおさかしろな　葉　ゆで,94.0,(0.1),0.3,(0.12),(0.03),(0.01),(0.08),(0.07),(0.01)
おおさかしろな　塩漬,91.0,(0.1),0.3,(0.12),(0.03),(0.01),(0.08),(0.07),(0.01)
オクラ　果実　生,90.2,(0.1),0.2,(0.07),(0.03),(0.02),(0.03),(Tr),(0.03)
オクラ　果実　ゆで,89.4,(0.1),0.1,(0.06),(0.02),(0.01),(0.02),(0),(0.02)
かぶ　葉　生,92.3,(0.1),0.1,(0.05),(0.01),(Tr),(0.04),(0.03),(Tr)
かぶ　葉　ゆで,92.2,(0.1),0.1,(0.05),(0.01),(Tr),(0.04),(0.03),(Tr)
かぶ　根　皮つき　生,93.9,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.04),(0.01)
かぶ　根　皮つき　ゆで,93.8,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.04),(0.01)
かぶ　根　皮なし　生,93.9,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.04),(0.01)
かぶ　根　皮なし　ゆで,93.7,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.04),(0.01)
かぶ　漬物　塩漬　葉,87.9,(0.1),0.2,(0.10),(0.02),(Tr),(0.08),(0.06),(0.01)
かぶ　漬物　塩漬　根　皮つき,90.5,(0.1),0.2,(0.14),(0.02),(0.01),(0.11),(0.08),(0.02)
かぶ　漬物　塩漬　根　皮なし,89.4,(0.1),0.1,(0.07),(0.01),(0.01),(0.05),(0.04),(0.01)
（かぼちゃ類）　日本かぼちゃ　果実　生,86.7,Tr,0.1,0.04,0.01,Tr,0.03,0.02,0.01
（かぼちゃ類）　日本かぼちゃ　果実　ゆで,84.0,(Tr),0.1,(0.04),(0.01),(Tr),(0.03),(0.02),(0.01)
（かぼちゃ類）　西洋かぼちゃ　果実　生,76.2,0.2,0.3,0.16,0.04,0.06,0.06,0.02,0.04
（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,75.7,(0.2),0.3,(0.16),(0.04),(0.06),(0.06),(0.02),(0.04)
（かぼちゃ類）　西洋かぼちゃ　果実　焼き,68.2,(0.2),0.4,(0.19),(0.05),(0.07),(0.07),(0.03),(0.05)
（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,78.1,(0.2),0.3,(0.16),(0.04),(0.06),(0.06),(0.02),(0.04)
（かぼちゃ類）　そうめんかぼちゃ　果実　生,92.4,(0.1),0.1,(0.07),(0.02),(0.01),(0.04),(0.03),(0.02)
カリフラワー　花序　生,90.8,(0.1),0.1,(0.07),(0.05),(0.01),(0.01),(0.01),(Tr)
カリフラワー　花序　ゆで,91.5,(0.1),0.1,(0.07),(0.05),(0.01),(0.01),(0.01),(Tr)
（キャベツ類）　キャベツ　結球葉　生,92.9,Tr,0.1,0.05,0.02,0.01,0.02,0.01,0.01
（キャベツ類）　キャベツ　結球葉　ゆで,93.9,(0.1),0.2,(0.05),(0.02),(0.01),(0.02),(0.01),(0.01)
（キャベツ類）　キャベツ　結球葉　油いため,85.7,(5.7),6.0,(5.47),(0.44),(3.49),(1.54),(0.45),(1.09)
（キャベツ類）　キャベツ　結球葉　カット　常法洗浄,94.8,Tr,0.1,0.04,0.02,0.01,0.02,0.01,0.01
（キャベツ類）　キャベツ　結球葉　カット　次亜塩素酸洗浄,95.1,0.1,0.2,0.06,0.03,0.01,0.02,0.01,0.01
（キャベツ類）　グリーンボール　結球葉　生,93.4,(Tr),0.1,(0.03),(0.01),(Tr),(0.01),(Tr),(0.01)
（キャベツ類）　レッドキャベツ　結球葉　生,90.4,Tr,0.1,0.02,0.01,Tr,0.01,0.01,0.01
きゅうり　果実　生,95.4,Tr,0.1,0.02,0.01,Tr,0.01,0.01,Tr
