食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
＜貝類＞　あわび　水煮缶詰,0,85,77.2,(15.2),19.4,0.3,140,0.4,(1.0),(0.9),5.3,(0),-,1.0,-,2.0,570,130,20,58,230,1.8,0.6,0.42,0.02,-,-,-,-,Tr,-,-,-,Tr,Tr,(0),1.5,0,0,0,0,0.04,0.04,1.0,(3.5),0.02,0.7,3,0.23,-,(0),-,1.4
＜貝類＞　いがい　生,60,63,82.9,7.5,10.3,0.8,47,1.6,3.1,2.8,6.6,(0),-,3.2,Tr,2.2,540,230,43,73,160,3.5,1.0,0.05,0.86,65,37,5,9,34,-,-,-,Tr,34,(0),1.1,0,0,0,Tr,0.01,0.37,1.4,3.7,0.02,10.0,42,0.63,6.4,5,-,1.4
＜貝類＞　いたやがい　養殖　生,65,55,84.9,(7.8),10.8,0.4,33,0.8,(1.5),(1.4),4.8,(0),-,1.5,-,2.0,450,260,48,74,170,2.0,6.1,0.10,4.90,-,-,-,-,5,0,9,-,9,6,(0),0.4,0,0,0,(0),0,0.20,1.4,(2.9),0.07,13.0,14,0.24,-,Tr,-,1.1
＜貝類＞　エスカルゴ　水煮缶詰,0,75,79.9,(12.0),16.5,0.4,240,1.0,(0.8),(0.7),6.0,(0),-,0.8,-,1.8,260,5,400,37,130,3.9,1.5,3.07,0.38,-,-,-,-,0,-,-,-,-,(0),0,0.6,0,0,0,5,0,0.09,0,(2.3),0,0.6,1,0,-,0,-,0.7
＜貝類＞　かき　養殖　生,75,58,85.0,4.9,6.9,1.3,38,2.2,2.5,2.3,6.7,(0),-,4.9,0.1,2.1,460,190,84,65,100,2.1,14.0,1.04,0.39,67,46,3,4,24,1,6,0,6,24,0.1,1.3,0,Tr,0,0,0.07,0.14,1.5,2.6,0.07,23.0,39,0.54,4.8,3,-,1.2
＜貝類＞　かき　養殖　水煮,0,90,78.7,7.3,9.9,2.2,60,3.6,7.1,6.5,10.1,(0),-,7.1,0.1,1.7,350,180,59,42,140,2.9,18.0,1.44,0.37,71,62,4,5,42,1,10,0,11,43,0.1,2.9,0,Tr,0,Tr,0.07,0.15,1.6,3.3,0.07,24.0,31,0.41,7.4,3,-,0.9
＜貝類＞　かき　養殖　フライ,0,256,46.6,5.5,7.6,10.0,36,11.1,15.6,14.2,36.0,-,-,32.9,0.1,1.8,380,180,67,53,110,1.8,12.0,0.87,0.37,50,44,3,6,18,1,11,0,12,19,0.1,3.1,0.1,4.0,0.2,21,0.07,0.16,1.4,2.6,0.07,30.0,33,0.39,4.4,2,-,1.0
＜貝類＞　かき　くん製油漬缶詰,0,294,51.2,(8.8),12.5,21.7,110,22.6,(11.2),(10.1),15.7,(0),-,11.2,-,2.5,300,140,35,42,260,4.5,25.0,2.81,1.03,-,-,-,-,Tr,-,-,-,18,2,(0),9.5,0,6.7,0.9,0,0.05,0.09,1.6,(3.5),0.02,32.0,25,0.56,-,(0),-,0.8
＜貝類＞　さざえ　生,85,83,78.0,14.2,19.4,0.1,140,0.4,(0.8),(0.7),6.3,(0),-,0.8,-,1.4,240,250,22,54,140,0.8,2.2,0.39,0.02,97,19,6,5,Tr,44,340,11,360,31,(0),2.3,0,0,0,3,0.04,0.09,1.7,4.1,0.05,1.3,16,0.24,1.9,1,-,0.6
＜貝類＞　さざえ　焼き,85,91,75.6,(15.6),21.3,0.1,170,0.4,(0.9),(0.8),6.9,(0),-,0.9,-,1.8,280,220,29,67,120,0.9,2.5,0.73,0.03,-,-,-,-,Tr,64,490,16,530,44,(0),2.8,0,0,0,2,0.04,0.10,1.5,(4.1),0.06,1.1,22,0.30,-,1,-,0.7
＜貝類＞　さるぼう　味付け缶詰,0,131,66.1,(12.3),15.9,1.3,110,2.2,(12.9),(11.6),17.4,(0),-,12.9,-,2.9,870,55,60,41,140,11.0,4.1,0.13,1.39,-,-,-,-,Tr,-,-,-,90,8,(0),2.5,0,0,0,(0),0.01,0.07,1.6,(4.1),0.04,25.0,11,0.19,-,(0),-,2.2
＜貝類＞　しじみ　生,75,54,86.0,5.8,7.5,0.6,62,1.4,(4.5),(4.1),6.4,(0),-,4.5,-,1.2,180,83,240,10,120,8.3,2.3,0.41,2.78,-,-,-,-,25,13,97,1,100,33,0.2,1.7,0,0,0,2,0.02,0.44,1.5,3.1,0.10,68.0,26,0.53,-,2,-,0.4
＜貝類＞　しじみ　水煮,80,95,76.0,12.3,15.4,1.2,130,2.7,(5.5),(5.0),8.7,(0),-,5.5,-,1.8,100,66,250,11,200,15.0,4.0,0.61,7.30,-,-,-,-,57,29,220,1,230,76,0.6,3.9,0,0,0,5,0.02,0.57,1.5,5.0,0.04,82.0,37,0.35,-,1,-,0.3
