食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
こむぎ　［中華めん類］　干し沖縄そば　ゆで,0,132,65.0,(5.1),5.2,(0.5),(0),0.6,(27.7),(25.2),27.2,1.5,-,28.6,-,0.6,200,10,11,8,36,0.5,0.1,0.05,0.16,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.02,0.02,0.2,(1.2),0.01,(0),3,0.18,-,(0),-,0.5
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,0,424,2.0,9.0,10.1,16.3,7,16.7,63.0,57.3,62.5,2.5,0.1,63.5,-,7.7,2500,260,430,29,110,1.0,0.5,0.13,0.82,-,-,-,-,0,0,0,0,0,0,0,3.1,0.3,3.1,2.5,1,1.46,1.67,1.0,2.5,0.06,0,12,0.41,-,0,-,6.4
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,0,439,3.0,-,10.1,18.6,3,19.1,(60.4),(54.9),59.5,2.4,-,61.4,-,6.4,2200,150,230,25,110,0.9,0.5,0.16,0.53,2,16,7,16,0,0,13,1,14,1,0,2.2,0.3,2.3,2.5,3,0.55,0.83,0.9,2.6,0.05,Tr,10,0.44,1.8,Tr,-,5.6
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,0,100,(78.5),-,(2.3),(4.4),(1),(4.4),(13.4),(12.2),(12.8),(0.5),(0.1),(13.4),-,(1.3),(430),(33),(28),(6),(20),(0.2),(0.1),(0.03),(0.12),(Tr),(4),(2),(4),0,0,(3),0,(3),0,0,(0.5),(Tr),(0.5),(0.6),(1),(0.02),(0.13),(0.2),(0.6),(0.01),0,(2),(0.10),(0.4),0,-,(1.1)
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,0,189,59.8,3.5,3.9,7.1,2,7.7,28.7,26.1,26.4,2.6,0,27.9,-,0.7,150,34,95,8,40,0.2,0.2,0.05,0.17,1,9,2,6,0,0,1,0,1,0,0,0.8,0.1,1.9,0.9,0,0.05,0.06,0.3,1.1,0.01,Tr,3,0.11,0.7,0,-,0.4
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,0,453,3.7,8.2,8.9,18.6,4,19.6,65.2,59.3,61.7,5.5,0,65.5,-,2.3,580,150,220,20,97,0.6,0.4,0.09,0.42,1,24,5,18,0,0,1,0,1,0,0,2.2,0.4,5.8,3.0,1,0.16,0.19,1.1,2.8,0.05,Tr,9,0.26,1.6,0,-,1.5
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,0,336,10.0,-,10.3,4.9,2,5.2,(65.7),(59.8),65.1,2.3,-,67.1,-,7.4,2700,260,110,25,110,0.8,0.4,0.11,0.66,13,8,3,16,Tr,0,5,0,5,1,0,1.3,0.3,3.8,2.2,3,0.21,0.04,1.0,2.7,0.05,Tr,14,0.37,2.2,0,-,6.9
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,0,93,(76.2),-,(3.0),(0.8),(1),(0.8),(17.4),(15.8),(18.0),(0.6),(0.1),(18.7),-,(1.2),(430),(68),(6),(6),(26),(0.2),(0.1),(0.03),(0.17),(4),(2),(1),(4),0,0,(2),0,(2),0,0,(0.2),(0.1),(0.9),(0.7),(1),(0.01),(0.01),(0.2),(0.7),(0.01),0,(4),(0.10),(0.6),0,-,(1.1)
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,0,139,63.9,3.3,3.4,0.6,1,0.8,29.2,26.6,28.7,2.7,0,31.0,-,0.9,230,64,94,8,46,0.2,0.2,0.04,0.17,1,5,2,4,0,10,27,0,31,3,0,0.7,0.2,3.9,1.7,0,Tr,Tr,0.4,1.1,0.01,0,3,0.12,0.6,0,-,0.6
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,0,334,10.7,7.9,8.5,1.5,1,1.9,74.4,67.7,69.7,6.5,0,75.2,-,3.7,1200,310,230,21,130,0.6,0.4,0.08,0.50,3,14,6,15,0,19,53,0,62,5,0,1.7,0.4,9.4,4.0,Tr,0.01,0.01,1.1,2.8,0.05,Tr,8,0.34,1.5,0,-,3.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,0,422,5.3,9.5,10.9,17.7,17,18.5,57.0,52.1,54.7,5.8,0.2,58.6,-,6.7,2300,190,190,25,110,0.7,0.5,0.09,0.41,5,22,9,15,2,49,260,7,290,26,0.2,3.1,0.4,7.5,4.0,17,0.90,0.61,1.2,2.9,0.07,0.1,16,0.30,2.3,2,-,5.8
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,0,92,(79.8),(2.1),(2.5),(4.0),(4),(4.2),(3.8),(3.5),(11.2),(1.3),(Tr),(13.2),-,(1.5),(520),(43),(43),(6),(24),(0.2),(0.1),(0.02),(0.09),(1),(5),(2),(3),(Tr),(11),(59),(1),(65),(6),(Tr),(0.7),(0.1),(1.7),(0.9),(4),(0.20),(0.14),(0.3),(0.7),(0.02),(Tr),(4),(0.07),(0.5),(1),-,(1.3)
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,0,175,62.0,3.3,3.8,7.2,1,7.7,24.9,22.7,24.0,2.2,0,25.2,-,1.3,440,37,76,7,34,0.3,0.2,0.04,0.14,1,9,3,5,0,12,59,0,65,6,0,1.2,0.2,3.2,1.7,1,0.19,0.14,0.3,0.9,0.02,Tr,4,0.10,0.6,0,-,1.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,0,417,9.7,8.3,10.0,18.6,10,19.1,54.7,49.8,50.5,6.1,0.2,54.6,-,6.6,2500,180,200,26,110,0.8,0.5,0.07,0.40,12,19,7,17,1,25,120,0,130,12,0,2.7,0.4,7.9,4.3,10,0.61,0.52,1.2,2.7,0.06,0.1,14,0.20,2.4,2,-,6.3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,0,90,(80.8),(2.0),(2.3),(4.4),(2),(4.5),(6.6),(6.0),(9.8),(1.4),(Tr),(12.9),-,(1.6),(590),(43),(46),(6),(27),(0.2),(0.1),(0.02),(0.09),(3),(4),(2),(4),0,(6),(28),0,(31),(3),0,(0.6),(0.1),(1.9),(1.0),(2),(0.14),(0.12),(0.3),(0.6),(0.01),(Tr),(3),(0.05),(0.6),(1),-,(1.5)
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,0,142,69.1,2.6,3.0,5.6,1,5.8,18.3,16.7,19.4,1.9,0,20.7,-,1.4,450,33,74,6,28,0.2,0.1,0.04,0.13,3,7,2,4,0,3,8,0,9,1,0,0.9,0.1,2.3,1.3,1,0.15,0.14,0.3,0.8,0.01,Tr,3,0.07,0.6,0,-,1.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,0,418,11.1,6.9,8.2,17.5,2,18.6,59.4,54.5,54.2,5.7,0,57.5,-,4.5,1500,180,180,27,89,1.0,0.4,0.12,0.56,6,16,4,15,0,1,50,1,51,4,0,3.1,0.5,4.4,3.2,14,0.48,0.66,0.8,2.1,0.06,Tr,13,0.38,1.9,1,-,3.8
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,0,222,(53.6),(4.2),(5.0),(10.6),(3),(11.3),(14.7),(13.5),(25.8),(3.3),(Tr),(34.2),-,(2.5),(910),(100),(94),(14),(54),(0.4),(0.3),(0.06),(0.30),(3),(9),(3),(9),0,(1),(18),(1),(19),(2),0,(1.8),(0.3),(4.9),(2.5),(11),(0.28),(0.30),(0.6),(1.4),(0.04),(Tr),(9),(0.15),(1.1),(2),-,(2.3)
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,0,314,15.2,7.7,9.2,5.4,6,5.8,59.5,54.3,58.0,6.4,0,62.6,-,7.2,2800,250,48,26,100,1.2,0.4,0.10,0.66,58,14,7,18,Tr,14,130,9,140,12,0,1.1,0.1,3.5,1.7,9,0.16,0.13,0.8,2.2,0.07,Tr,21,0.35,2.9,1,-,7.1
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,0,66,(83.5),(2.1),(2.5),(2.0),(2),(2.1),(13.3),(12.2),(9.2),(1.5),(Tr),(10.2),-,(1.7),(560),(77),(44),(7),(34),(0.2),(0.1),(0.02),(0.12),(14),(3),(2),(4),0,(2),(27),(3),(30),(3),(Tr),(0.3),(Tr),(0.9),(0.4),(3),(0.10),(0.10),(0.4),(0.7),(0.02),(Tr),(4),(0.08),(0.7),(2),-,(1.4)
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,0,121,68.8,2.9,3.4,1.1,1,1.3,25.7,23.4,23.5,2.5,0,25.3,-,1.2,380,53,76,7,42,0.3,0.1,0.03,0.17,10,5,2,3,0,0,4,1,5,Tr,0,0.3,0.1,0.9,0.4,1,0.05,0.06,0.3,0.8,0.01,0,3,0.07,0.6,0,-,1.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,0,437,6.2,9.6,10.9,18.9,3,19.8,58.1,53.0,52.1,6.0,0.3,56.1,-,7.0,2600,150,170,26,160,1.3,0.5,0.11,0.54,430,13,5,19,0,0,52,2,53,4,0,2.6,0.3,5.4,2.8,5,0.11,0.05,1.0,2.9,0.05,0.2,12,0.25,2.0,1,-,6.7
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,0,91,(80.5),(1.9),(2.2),(4.4),(1),(4.7),(7.3),(6.7),(10.3),(1.4),(Tr),(11.2),-,(1.5),(550),(34),(41),(6),(38),(0.2),(0.1),(0.02),(0.10),(99),(3),(1),(4),0,(1),(5),(1),(6),(Tr),0,(0.6),(0.1),(1.5),(0.9),(1),(0.19),(0.08),(0.3),(0.6),(0.01),(Tr),(2),(0.06),(0.5),(2),-,(1.4)
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,0,163,64.4,2.4,2.7,7.0,2,7.2,23.3,21.2,22.6,2.4,0,24.4,-,1.2,420,26,78,6,48,0.2,0.1,0.02,0.13,77,4,2,3,0,0,1,0,1,0,0,1.0,0.1,2.3,1.3,1,0.15,0.06,0.3,0.7,0.01,Tr,3,0.07,0.4,1,-,1.1
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,0,347,11.3,12.0,12.9,1.5,(0),1.8,73.4,66.9,68.9,5.4,-,73.1,-,0.8,1,200,18,55,130,1.4,1.5,0.28,0.82,0,63,1,53,(0),-,-,-,9,1,(0),0.3,0.2,0,0,(0),0.19,0.06,2.3,4.9,0.11,(0),13,0.65,4.0,(0),-,0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,0,150,60.0,5.3,5.8,0.7,(0),0.9,31.3,28.5,29.7,3.0,-,32.2,-,1.2,460,14,8,20,53,0.7,0.7,0.14,0.35,0,32,1,13,(0),-,-,-,(0),(0),(0),0.1,0.1,0,0,(0),0.06,0.03,0.6,1.7,0.02,(0),4,0.28,1.6,(0),-,1.2
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,0,186,(57.0),(5.1),(5.5),(5.6),(Tr),(5.8),(29.7),(27.0),(28.3),(2.9),-,(30.5),-,(1.2),(440),(13),(8),(19),(50),(0.7),(0.7),(0.13),(0.33),0,(31),(1),(12),0,0,0,0,0,0,0,(0.9),(0.1),(1.6),(0.1),(6),(0.06),(0.03),(0.6),(1.7),(0.02),0,(4),(0.27),(1.5),0,-,(1.1)
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,0,232,42.0,7.5,7.8,1.7,(0),1.9,46.1,42.2,45.9,1.5,0,46.9,-,1.4,470,76,12,18,73,0.5,0.5,0.12,0.32,-,-,-,-,(0),(0),(0),(0),(0),(0),-,0.1,Tr,0.2,Tr,(0),0.05,0.04,1.1,2.6,0.05,(0),9,0.27,-,(0),-,1.2
こむぎ　［ふ類］　生ふ,0,161,60.0,(11.7),12.7,(0.7),(0),0.8,-,-,26.8,0.5,-,26.2,-,0.3,7,30,13,18,60,1.3,1.8,0.25,1.04,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,0.1,Tr,Tr,(0),0.08,0.03,0.5,(2.9),0.02,(0),7,0.12,-,(0),-,0
こむぎ　［ふ類］　焼きふ　釜焼きふ,0,357,11.3,26.8,28.5,(2.3),(0),2.7,-,-,55.2,3.7,-,56.9,-,0.6,6,120,33,43,130,3.3,2.2,0.32,-,-,-,-,-,(0),-,-,-,(0),(0),(0),0.5,0.4,2.6,2.3,(0),0.16,0.07,3.5,9.0,0.08,(0),16,0.58,-,(0),-,0
こむぎ　［ふ類］　焼きふ　板ふ,0,351,12.5,(23.6),25.6,(2.9),(0),3.3,-,-,55.9,3.8,-,57.3,-,1.3,190,220,31,90,220,4.9,2.9,0.49,1.54,-,-,-,-,(0),-,-,-,(0),(0),(0),0.6,0.5,0.6,0.6,(0),0.20,0.08,3.6,(8.5),0.16,(0),22,0.79,-,(0),-,0.5
こむぎ　［ふ類］　焼きふ　車ふ,0,361,11.4,(27.8),30.2,(2.9),(0),3.4,-,-,54.4,2.6,-,54.2,-,0.8,110,130,25,53,130,4.2,2.7,0.42,1.23,-,-,-,-,(0),-,-,-,(0),(0),(0),0.4,0.4,0,0,(0),0.12,0.07,2.9,(8.7),0.07,(0),11,0.47,-,(0),-,0.3
こむぎ　［ふ類］　油ふ,0,547,7.1,-,22.7,-,1,35.3,-,-,34.4,-,-,34.4,-,0.4,22,71,19,28,95,1.7,1.4,0.21,0.94,Tr,38,3,19,-,0,1,0,1,0,0,3.9,0.6,13.0,5.8,65,0.07,0.03,1.8,5.6,0.06,0.1,17,0.22,4.6,-,-,0.1
こむぎ　［その他］　小麦はいが,0,391,3.6,26.5,32.0,10.4,(0),11.6,29.6,27.5,40.7,14.3,-,48.3,-,4.5,3,1100,42,310,1100,9.4,16.0,0.89,-,-,-,-,-,(0),0,61,4,63,5,(0),28.0,11.0,0,0,2,1.82,0.71,4.2,10,1.24,(0),390,1.34,-,(0),-,0
こむぎ　［その他］　小麦たんぱく　粉末状,0,398,6.5,71.2,72.0,(6.7),(0),9.7,-,-,12.0,2.4,-,10.6,-,1.2,60,90,75,75,180,6.6,5.0,0.75,2.67,-,-,-,-,(0),-,-,-,12,1,(0),1.1,1.1,0,0,(0),0.03,0.12,3.5,17.0,0.10,(0),34,0.61,-,0,-,0.2
こむぎ　［その他］　小麦たんぱく　粒状,0,101,76.0,(19.4),20.0,(1.4),(0),2.0,-,-,2.6,0.4,-,1.8,-,0.2,36,3,14,16,54,1.8,1.4,0.22,0.62,-,-,-,-,(0),0,0,0,0,(0),(0),0.5,0.5,0,0,(0),0.02,0.01,1.2,(4.8),0.01,(0),5,0,-,(0),-,0.1
こむぎ　［その他］　小麦たんぱく　ペースト状,0,145,66.0,(24.2),25.0,(2.8),(0),4.1,-,-,5.5,0.5,-,3.9,-,1.0,230,39,30,54,160,3.0,2.4,0.36,1.57,-,-,-,-,(0),0,6,0,6,1,(0),1.7,1.1,0.4,0.1,(0),0.20,0.03,2.7,(7.2),0.04,(0),17,0.45,-,(0),-,0.6
こむぎ　［その他］　かやきせんべい,0,359,9.8,-,10.6,-,-,1.9,-,-,75.1,-,-,75.1,-,2.7,970,150,19,27,110,0.8,0.6,0.15,0.76,1,5,1,15,-,0,1,0,1,0,0,0.3,0.2,0,0,0,0.17,0.02,1.2,3.0,0.09,0,16,0.39,2.3,-,-,2.5
こむぎ　［その他］　ぎょうざの皮　生,0,275,32.0,(8.4),9.3,(1.2),0,1.4,(60.4),(54.9),55.9,2.2,-,57.0,-,0.3,2,64,16,18,60,0.8,0.6,0.12,0.28,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,0.2,0,0,0,0.08,0.04,0.7,(2.5),0.06,(0),12,0.61,-,0,-,0
こむぎ　［その他］　しゅうまいの皮　生,0,275,31.1,(7.5),8.3,(1.2),(0),1.4,(61.2),(55.7),57.7,2.2,-,58.9,-,0.3,2,72,16,17,60,0.6,0.5,0.10,0.28,-,-,-,-,(0),-,-,-,(0),(0),(0),0.2,0.1,0,0,(0),0.09,0.04,0.6,(2.2),0.05,(0),9,0.50,-,0,-,0
こむぎ　［その他］　春巻きの皮　生,0,288,26.7,-,8.3,-,Tr,1.6,-,-,57.7,4.5,-,62.2,-,1.2,440,77,13,13,54,0.3,0.3,0.09,0.23,1,18,1,12,-,0,Tr,0,Tr,0,0,Tr,Tr,Tr,0,1,0.03,0.01,0.7,2.0,0.03,Tr,9,0.18,0.9,-,-,1.1
こむぎ　［その他］　春巻きの皮　揚げ,0,512,7.3,-,7.2,-,1,30.7,-,-,49.5,4.2,-,53.7,-,1.0,370,66,11,11,48,0.3,0.3,0.09,0.20,Tr,16,1,11,-,-,0,-,0,0,0,4.9,0.1,11.0,0.3,47,0.02,0.01,0.6,1.8,0.02,Tr,8,0.18,0.8,-,-,0.9
こむぎ　［その他］　ピザ生地,0,265,35.3,-,9.1,2.7,(0),3.0,(53.2),(48.5),49.1,2.3,-,51.1,-,1.5,510,91,13,22,77,0.8,0.6,0.09,0.50,-,-,-,-,(0),0,0,0,0,(0),(0),0.3,0.2,0.4,0.2,(0),0.15,0.11,1.0,2.5,0.05,(0),20,0.54,-,(0),-,1.3
こむぎ　［その他］　ちくわぶ,0,160,60.4,(6.5),7.1,(1.0),(0),1.2,-,-,30.3,1.5,-,31.1,-,0.2,1,3,8,6,31,0.5,0.2,0.07,0.08,-,-,-,-,(0),-,-,-,(0),(0),(0),Tr,Tr,0,0,(0),0.01,0.02,0.3,(1.7),0.01,(0),4,0.25,-,(0),-,0
こむぎ　［その他］　パン粉　生,0,277,35.0,(9.1),11.0,(4.6),(0),5.1,(51.5),(47.2),47.0,3.0,-,47.6,-,1.3,350,110,25,29,97,1.1,0.7,0.15,0.47,-,-,-,-,(0),0,3,0,3,Tr,(0),0.3,0.2,0.4,0.3,(Tr),0.11,0.02,1.2,(3.1),0.05,(0),40,0.41,-,(0),-,0.9
こむぎ　［その他］　パン粉　半生,0,315,26.0,(10.4),12.5,(5.2),(0),5.8,(58.6),(53.8),53.5,3.5,-,54.3,-,1.4,400,130,28,34,110,1.2,0.8,0.17,0.53,-,-,-,-,(0),0,4,0,4,Tr,(0),0.4,0.2,0.4,0.3,(Tr),0.13,0.03,1.4,(3.5),0.06,(0),46,0.47,-,(0),-,1.0
こむぎ　［その他］　パン粉　乾燥,0,349,11.9,(12.4),14.9,(3.7),(0),4.1,68.6,62.5,(63.8),6.5,0,67.4,-,1.8,570,160,25,36,120,1.1,0.9,0.16,0.62,1,46,1,25,(0),Tr,1,0,1,Tr,(0),0.4,0.2,0.1,0,1,0.16,0.05,2.0 ,(4.5),0.1,Tr,24,0.46,4.1,Tr,-,1.4
こむぎ　［その他］　冷めん　生,0,249,36.4,3.4,3.9,0.6,(0),0.7,57.6,52.4,57.1,1.1,Tr,57.6,-,1.4,530,59,11,12,57,0.3,0.2,0.05,0.21,-,-,-,-,(0),(0),(0),(0),(0),(0),-,0,0,Tr,0,(0),0.04,Tr,0.4,1.2,0.02,(0),4,0.11,-,(0),-,1.3
こめ　［水稲穀粒］　玄米,0,346,14.9,6.0,6.8,2.5,(0),2.7,78.4,71.3,72.4,3.0,-,74.3,-,1.2,1,230,9,110,290,2.1,1.8,0.27,2.06,Tr,3,0,65,(0),0,1,0,1,Tr,(0),1.2,0.1,0.1,0,(0),0.41,0.04,6.3,8.0,0.45,(0),27,1.37,6.0,(0),-,0
こめ　［水稲穀粒］　半つき米,0,345,14.9,(5.6),6.5,(1.7),(0),1.8,81.5,74.1,75.7,1.4,-,75.9,-,0.8,1,150,7,64,210,1.5,1.6,0.24,1.40,Tr,2,0,76,(0),(0),(0),(0),(0),(0),(0),0.8,Tr,0.1,0,(0),0.30,0.03,3.5,(5.1),0.28,(0),18,1.00,3.5,(0),-,0
こめ　［水稲穀粒］　七分つき米,0,348,14.9,(5.4),6.3,(1.4),(0),1.5,83.3,75.8,76.8,0.9,-,76.6,-,0.6,1,120,6,45,180,1.3,1.5,0.23,1.05,0,2,Tr,73,(0),(0),(0),(0),(0),(0),(0),0.4,Tr,0,0,(0),0.24,0.03,1.7,(3.2),0.20,(0),15,0.84,2.9,(0),-,0
こめ　［水稲穀粒］　精白米　うるち米,0,342,14.9,5.3,6.1,0.8,(0),0.9,83.1,75.6,78.1,0.5,-,77.6,-,0.4,1,89,5,23,95,0.8,1.4,0.22,0.81,0,2,0,69,(0),0,0,0,0,(0),(0),0.1,Tr,0,0,0,0.08,0.02,1.2,2.6,0.12,(0),12,0.66,1.4,(0),-,0
こめ　［水稲穀粒］　精白米　もち米,0,343,14.9,5.8,6.4,1.0,(0),1.2,77.6,70.5,77.4,(0.5),0,77.2,-,0.4,Tr,97,5,33,100,0.2,1.5,0.22,1.30,0,2,0,79,(0),(0),(0),(0),(0),(0),(0),(0.2),0,(0),(0),(0),0.12,0.02,1.6,3.1,(0.12),(0),(12),(0.67),(1.4),(0),-,0
こめ　［水稲穀粒］　精白米　インディカ米,0,347,13.7,6.4,7.4,0.7,(0),0.9,80.3,73.0,78.3,0.5,-,77.7,-,0.4,1,68,5,18,90,0.5,1.6,0.20,0.88,0,7,2,62,(0),0,0,0,0,(0),(0),Tr,0,0,0,(0),0.06,0.02,1.1,2.9,0.08,(0),16,0.61,2.0,(0),-,0
こめ　［水稲穀粒］　はいが精米,0,343,14.9,-,6.5,1.9,(0),2.0,79.4,72.2,74.7,1.3,-,75.8,-,0.7,1,150,7,51,150,0.9,1.6,0.22,1.54,0,2,Tr,57,(0),(0),(0),(0),(0),(0),(0),0.9,Tr,0.1,0,(0),0.23,0.03,3.1,4.2,0.22,(0),18,1.00,3.3,(0),-,0
こめ　［水稲穀粒］　発芽玄米,0,339,14.9,5.5,6.5,2.8,(0),3.3,76.2,69.3,72.6,3.1,-,74.3,-,1.1,3,160,13,120,280,1.0,1.9,0.23,2.07,-,-,-,-,(0),(0),(0),(0),(0),(0),(0),1.2,0.1,0.2,0,0,0.35,0.02,4.9,6.4,0.34,(0),18,0.75,-,(0),-,0
こめ　［水稲穀粒］　赤米,0,344,14.6,-,8.5,-,-,3.3,71.6,65.2,65.4,6.5,0,71.9,-,1.4,2,290,12,130,350,1.2,2.4,0.27,2.50,Tr,3,1,55,-,0,3,0,3,0,0,1.5,0.1,0.2,Tr,-,0.38,0.05,5.5,6.9,0.50,-,30,1.17,5.6,-,-,0
こめ　［水稲穀粒］　黒米,0,341,15.2,-,7.8,-,-,3.2,72.3,65.7,66.4,5.6,0,72.0,-,1.4,1,270,15,110,310,0.9,1.9,0.22,4.28,0,3,3,72,-,0,31,Tr,32,3,0,1.3,0.1,0.3,Tr,-,0.39,0.10,6.9,8.2,0.49,-,49,0.83,5.8,-,-,0
こめ　［水稲めし］　玄米,0,152,60.0,2.4,2.8,(0.9),(0),1.0,35.1,32.0,34.7,1.4,-,35.6,-,0.6,1,95,7,49,130,0.6,0.8,0.12,1.04,0,1,0,34,(0),0,0,0,0,(0),(0),0.5,Tr,0.1,0,(0),0.16,0.02,2.9,3.6,0.21,(0),10,0.65,2.5,(0),-,0
こめ　［水稲めし］　半つき米,0,154,60.0,(2.2),2.7,(0.5),(0),0.6,36.8,33.5,36.1,0.8,-,36.4,-,0.3,1,43,4,22,53,0.2,0.7,0.11,0.60,0,1,0,34,(0),(0),(0),(0),(0),(0),(0),0.2,Tr,0,0,(0),0.08,0.01,1.6,(2.2),0.07,(0),6,0.35,1.2,(0),-,0
こめ　［水稲めし］　七分つき米,0,160,60.0,(2.1),2.6,(0.5),(0),0.5,36.8,33.5,36.7,0.5,-,36.7,-,0.2,1,35,4,13,44,0.2,0.7,0.11,0.46,0,1,0,35,(0),(0),(0),(0),(0),(0),(0),0.1,0,0,0,(0),0.06,0.01,0.8,(1.4),0.03,(0),5,0.26,0.9,(0),-,0
こめ　［水稲めし］　精白米　インディカ米,0,184,54.0,3.2,3.8,0.3,(0),0.4,41.0,37.3,41.9,0.4,-,41.5,-,0.2,0,31,2,8,41,0.2,0.8,0.10,0.42,0,3,1,32,(0),(0),(0),(0),(0),(0),(0),0,0,0,0,(0),0.02,Tr,0.3,1.3,0.02,(0),6,0.24,0.5,(0),-,0
こめ　［水稲めし］　精白米　うるち米,0,156,60.0,2.0,2.5,0.2,(0),0.3,38.1,34.6,36.1,1.5,-,37.1,-,0.1,1,29,3,7,34,0.1,0.6,0.10,0.35,0,1,0,30,(0),0,0,0,0,(0),(0),Tr,Tr,0,0,(0),0.02,0.01,0.2,0.8,0.02,(0),3,0.25,0.5,(0),-,0
こめ　［水稲めし］　精白米　もち米,0,188,52.1,3.1,3.5,0.4,(0),0.5,45.6,41.5,43.9,(0.4),0,43.9,-,0.1,0,28,2,5,19,0.1,0.8,0.11,0.50,0,1,0,48,(0),(0),(0),(0),(0),(0),(0),(Tr),(0),(0),(0),(0),0.03,0.01,0.2,1.0,(0.02),(0),(4),(0.30),(0.5),(0),-,0
こめ　［水稲めし］　はいが精米,0,159,60.0,-,2.7,(0.6),(0),0.6,37.9,34.5,35.6,0.8,-,36.4,-,0.3,1,51,5,24,68,0.2,0.7,0.10,0.68,0,1,1,28,(0),(0),(0),(0),(0),(0),(0),0.4,Tr,Tr,0,(0),0.08,0.01,0.8,1.3,0.09,(0),6,0.44,1.0,(0),-,0
こめ　［水稲めし］　発芽玄米,0,161,60.0,2.7,3.0,1.3,(0),1.4,33.2,30.2,33.7,1.8,-,35.0,-,0.5,1,68,6,53,130,0.4,0.9,0.11,0.93,-,-,-,-,(0),(0),(0),(0),(0),(0),(0),0.3,0,0.1,0,0,0.13,0.01,2.0,2.8,0.13,(0),6,0.36,-,(0),-,0
こめ　［水稲めし］　赤米,0,150,61.3,-,3.8,-,-,1.3,31.0,28.2,29.3,3.4,0,32.7,-,0.6,1,120,5,55,150,0.5,1.0,0.12,1.00,-,1,Tr,24,-,-,1,-,1,0,-,0.6,Tr,0.1,-,-,0.15,0.02,2.8,3.4,0.19,-,9,0.47,2.8,-,-,0
